zipcode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
15045,17.428,5.137,8.143,9.428,5.652,12.956,6.978,11.251,2.102,19.213,20.479,3.895,5.976,5.158,13.42,10.223,18.027,21.914,8.677,3.35,15.685,21.662,9.249,20.836,15.637,15.333,10.534,13.253,23.909,9.984,7.401,14.1,23.249,14.05,13.905,1.21,15.093,5.706,16.342,4.418,14.013,3.393,9.587,20.382,4.068,8.254,7.946
15046,7.926,19.076,18.218,14.484,18.284,11.392,16.933,13.405,25.468,4.71,20.114,23.608,26.58,28.557,18.894,26.201,15.015,26.465,15.543,25.352,8.312,3.11,15.524,9.499,10.714,9.53,22.498,11.788,13.051,17.059,18.365,24.411,1.148,20.154,13.48,24.775,12.964,21.621,23.274,20.802,9.954,22.33,17.45,7.567,22.01,19.676,21.101
15047,20.58,9.458,12.603,13.213,9.723,17.052,10.916,15.484,4.621,22.964,20.929,4.325,3.264,5.23,14.199,8.232,19.587,21.002,12.862,2.337,19.557,25.563,13.571,23.363,18.424,18.536,10.193,16.308,25.855,11.981,9.728,13.085,26.843,14.405,16.247,3.267,19.518,9.969,15.8,6.87,17.642,7.719,14.047,24.626,5.771,9.559,8.607
15049,14.636,16.664,19.98,14.841,15.517,18.032,15.107,18.252,18.641,19.296,5.092,12.983,13.281,21.068,4.425,8.943,7.56,5.725,16.811,14.64,17.92,22.107,18.098,13.53,11.965,13.865,6.265,12.406,13.169,8.902,10.736,3.962,21.135,3.101,9.543,16.299,22.98,20.37,1.197,12.672,15.561,18.684,20.882,24.239,12.612,8.833,8.734
15051,11.739,15.976,18.926,13.299,14.736,15.984,14.063,16.505,19.032,16.467,3.53,13.644,14.644,21.751,3.538,10.98,4.356,7.724,15.451,15.509,15.445,19.213,16.695,10.329,9.194,11.218,7.508,10.079,10.126,7.806,10.142,6.616,18.056,3.153,7.085,16.827,21.011,19.863,4.366,12.651,13.202,18.461,19.648,21.645,12.906,8.714,9.128
15056,7.029,18.668,18.021,13.987,17.822,11.131,16.456,13.162,25.028,4.38,19.028,22.958,25.886,28.144,17.933,25.359,13.95,25.39,15.181,24.738,7.98,3.522,15.25,8.405,9.797,8.741,21.62,11.02,11.983,16.251,17.658,23.45,0.166,19.176,12.567,24.244,13.128,21.366,22.258,20.175,9.405,21.968,17.329,8.103,21.368,18.891,20.312
15064,12.653,8.935,5.71,8.04,9.188,5.383,8.654,4.589,14.399,10.531,23.952,15.772,18.917,16.865,18.414,21.295,19.019,28.494,6.453,16.636,7.747,11.441,5.238,17.503,13.335,11.383,19.091,11.32,21.944,14.04,13.02,22.579,14.443,19.763,14.231,14.962,1.689,9.054,23.272,13.304,8.72,10.812,4.321,8.042,14.43,15.224,16.292
15065,19.535,22.701,26.049,20.851,21.571,23.853,21.177,24.211,24.213,24.289,6.56,18.5,18.158,26.376,10.429,13.29,11.634,0.409,22.861,19.941,23.408,26.95,24.144,17.232,17.106,19.163,11.779,18.021,15.306,14.956,16.788,8.348,25.447,9.162,15.04,21.821,28.854,26.351,6.027,18.561,21.157,24.58,26.949,29.584,18.36,14.823,14.555
15071,10.406,11.227,8.747,8.646,11.087,4.657,10.158,5.374,17.274,7.316,22.92,17.67,20.882,19.978,18.242,22.53,17.691,28.071,7.961,18.844,5.402,7.811,7.114,15.135,11.777,9.66,19.798,10.332,19.634,14.274,13.92,22.993,10.951,19.646,13.333,17.457,2.08,12.27,23.213,14.955,7.254,13.722,7.549,4.404,16.178,16.014,17.265
15075,13.892,17.826,20.92,15.42,16.616,18.209,16.036,18.681,20.392,18.637,2.766,14.828,15.397,22.957,5.234,11.217,6.191,5.492,17.529,16.582,17.686,21.348,18.789,12.086,11.402,13.445,8.264,12.321,11.175,9.743,11.913,6.288,20.051,4.313,9.329,18.104,23.23,21.654,3.434,14.187,15.446,20.124,21.701,23.87,14.285,10.251,10.411
15076,13.727,18.903,21.843,16.16,17.664,18.655,16.986,19.292,21.792,18.478,1.133,16.294,16.99,24.426,6.394,12.873,5.758,5.773,18.337,18.091,17.851,21.092,19.57,11.369,11.426,13.533,9.833,12.67,9.938,10.735,13.053,7.948,19.55,5.702,9.671,19.539,23.691,22.783,5.063,15.487,15.722,21.351,22.543,23.889,15.667,11.54,11.825
15082,12.704,12.351,9.329,10.489,12.428,6.756,11.676,7.024,18.018,9.346,25.22,19.061,22.249,20.505,20.397,24.253,20.008,30.297,9.428,20.064,7.719,9.335,8.381,17.395,14.097,11.982,21.712,12.595,21.893,16.305,15.731,25.01,12.652,21.793,15.6,18.488,2.245,12.693,25.356,16.456,9.551,14.43,7.958,5.138,17.639,17.88,19.071
15084,17.579,20.555,23.877,18.665,19.414,21.695,19.001,22.031,22.264,22.325,5.145,16.559,16.435,24.529,8.243,11.689,9.802,1.876,20.675,18.081,21.32,25.032,21.958,15.579,15.082,17.11,9.804,15.897,14.093,12.772,14.633,6.59,23.672,6.981,12.931,19.887,26.688,24.236,3.985,16.482,19.042,22.503,24.768,27.538,16.335,12.698,12.495
15086,9.95,22.988,23.79,18.21,21.819,17.284,20.497,19.126,28.635,11.909,13.767,24.833,27.081,31.801,16.347,24.817,10.613,20.121,20.183,26.831,14.387,12.699,20.801,5.831,11.06,11.889,20.914,13.573,4.82,17.181,19.504,21.213,9.458,17.081,12.917,27.141,20.966,26.542,19.012,22.524,14.215,26.365,23.582,17.188,23.452,19.715,20.915
15088,20.439,7.317,8.969,12.128,8.28,15.064,9.66,13.147,1.617,21.662,24.154,7.32,8.474,2.282,17.097,13.253,21.634,25.416,10.827,6.064,18.056,23.883,11.009,24.145,18.886,18.346,14.073,16.404,27.402,13.581,10.983,17.528,25.814,17.711,17.359,3.999,16.131,5.561,19.897,8.066,16.705,4.07,10.288,21.988,7.732,11.931,11.594
15090,6.65,19.084,20.238,14.422,17.874,14.13,16.593,15.801,24.532,9.995,10.598,20.589,22.812,27.682,12.172,20.613,6.579,17.092,16.519,22.59,11.584,11.697,17.273,1.849,7.078,8.293,16.699,9.657,2.964,12.932,15.296,17.214,9.119,12.992,8.692,22.963,18.367,22.767,15.213,18.33,10.852,22.42,20.193,15.73,19.228,15.449,16.645
